"X","date","cmname","unit","category","price","currency","mktname","lat","long","year","quarter","price_norm","stdev","distinct_prices","stdev_mean"
24918,Feb 2021,"Millet - Retail","KG","cereals and tubers",165,"XOF","Titao",13.7670609,-2.0734607,2021,2021 Q1,0.251824817518248,0.0128170970229352,3,0.0128170970229352
25325,Feb 2021,"Millet - Retail","KG","cereals and tubers",260,"XOF","Yako",12.9612908,-2.2634317,2021,2021 Q1,0.598540145985402,0.0324386657566262,3,0.0324386657566262
26280,Feb 2021,"Millet - Retail","KG","cereals and tubers",215,"XOF","Mogtédo",12.284444,-0.837222,2021,2021 Q1,0.434306569343066,0.0438462805132363,3,0.0438462805132363
27678,Feb 2021,"Millet - Retail","KG","cereals and tubers",212,"XOF","Djibo",14.1023225,-1.6318243,2021,2021 Q1,0.423357664233577,0.0117319352323515,3,0.0117319352323515
30366,Feb 2021,"Millet - Retail","KG","cereals and tubers",252,"XOF","Markoye",14.64326068,0.034042523,2021,2021 Q1,0.569343065693431,0.0519138401298099,3,0.0519138401298099
30594,Feb 2021,"Millet - Retail","KG","cereals and tubers",218,"XOF","Sebba",13.44169,0.5264471,2021,2021 Q1,0.445255474452555,0.072473824859399,3,0.072473824859399
30869,Feb 2021,"Millet - Retail","KG","cereals and tubers",217,"XOF","Seytenga",13.97458917,0.295821919,2021,2021 Q1,0.441605839416058,0.0967210667167929,3,0.0967210667167929
32052,Feb 2021,"Millet - Retail","KG","cereals and tubers",226,"XOF","Batie",9.876575434,-2.921170794,2021,2021 Q1,0.474452554744526,0.0565791530619634,3,0.0565791530619634
32601,Feb 2021,"Millet - Retail","KG","cereals and tubers",223,"XOF","Dano",11.1435597,-3.0637939,2021,2021 Q1,0.463503649635036,0.0410212051097016,3,0.0410212051097016
33101,Feb 2021,"Millet - Retail","KG","cereals and tubers",280,"XOF","Gaoua",10.3303342,-3.1795681,2021,2021 Q1,0.671532846715328,0.0826624208241323,3,0.0826624208241323
33590,Feb 2021,"Millet - Retail","KG","cereals and tubers",233,"XOF","Hamélé",11.007575,-2.7488016,2021,2021 Q1,0.5,0.0258926966591153,3,0.0258926966591153
579,Jan 2021,"Millet - Retail","KG","cereals and tubers",190,"XOF","Tougan",13.0690536,-3.0695369,2021,2021 Q1,0.343065693430657,0.0147498243953554,3,0.0147498243953554
1400,Jan 2021,"Millet - Retail","KG","cereals and tubers",199,"XOF","Dedougou",12.4617,-3.457987,2021,2021 Q1,0.375912408759124,0.0344950045711869,3,0.0344950045711869
2947,Jan 2021,"Millet - Retail","KG","cereals and tubers",227,"XOF","Boromo",11.7447567,-2.9300274,2021,2021 Q1,0.478102189781022,0.0314659784826705,3,0.0314659784826705
3370,Jan 2021,"Millet - Retail","KG","cereals and tubers",155,"XOF","Djibasso",13.1238952,-4.1587932,2021,2021 Q1,0.215328467153285,0.0243004675856912,3,0.0243004675856912
3764,Jan 2021,"Millet - Retail","KG","cereals and tubers",230,"XOF","Fara",11.5285634,-2.7665227,2021,2021 Q1,0.489051094890511,0.0283483703107811,3,0.0283483703107811
4186,Jan 2021,"Millet - Retail","KG","cereals and tubers",143,"XOF","Gassan",12.8187745,-3.2,2021,2021 Q1,0.171532846715328,0.0201006224353507,3,0.0201006224353507
4682,Jan 2021,"Millet - Retail","KG","cereals and tubers",134,"XOF","Solenzo",12.1783519,-4.0790712,2021,2021 Q1,0.138686131386861,0.0403665693991169,3,0.0403665693991169
5084,Jan 2021,"Millet - Retail","KG","cereals and tubers",183,"XOF","Toma",12.7564457,-2.8972321,2021,2021 Q1,0.317518248175182,0.0128170970229352,3,0.0128170970229352
5855,Jan 2021,"Millet - Retail","KG","cereals and tubers",236,"XOF","Banfora",10.642703,-4.752639,2021,2021 Q1,0.510948905109489,0.0298735502623082,3,0.0298735502623082
6417,Jan 2021,"Millet - Retail","KG","cereals and tubers",219,"XOF","Douna",10.61514717,-5.107333145,2021,2021 Q1,0.448905109489051,0.130079327865036,3,0.130079327865036
8197,Jan 2021,"Millet - Retail","KG","cereals and tubers",250,"XOF","Gounghin",12.37002709,-1.517322022,2021,2021 Q1,0.562043795620438,0.0138172952452561,3,0.0138172952452561
9327,Jan 2021,"Millet - Retail","KG","cereals and tubers",215,"XOF","Tenkodogo",11.7828079,-0.3651416,2021,2021 Q1,0.434306569343066,0.0314659784826705,3,0.0314659784826705
9832,Jan 2021,"Millet - Retail","KG","cereals and tubers",218,"XOF","Pouytenga",12.2467964,-0.4257424,2021,2021 Q1,0.445255474452555,0.00759732116593478,3,0.00759732116593478
10209,Jan 2021,"Millet - Retail","KG","cereals and tubers",246,"XOF","Koupela",12.18229209,-0.352622705,2021,2021 Q1,0.547445255474453,0.0334494576274149,3,0.0334494576274149
10633,Jan 2021,"Millet - Retail","KG","cereals and tubers",197,"XOF","Ouargaye",11.503281,0.0576243,2021,2021 Q1,0.368613138686131,0.0703916113941092,3,0.0703916113941092
10984,Jan 2021,"Millet - Retail","KG","cereals and tubers",218,"XOF","Zabre",11.18154132,-0.63425825,2021,2021 Q1,0.445255474452555,0.060742032763114,3,0.060742032763114
12069,Jan 2021,"Millet - Retail","KG","cereals and tubers",170,"XOF","Kongoussi",13.3224919,-1.5263393,2021,2021 Q1,0.27007299270073,0.0456326017846984,3,0.0456326017846984
12666,Jan 2021,"Millet - Retail","KG","cereals and tubers",176,"XOF","Kaya",13.085603,-1.0839593,2021,2021 Q1,0.291970802919708,0.180389465054853,3,0.180389465054853
13055,Jan 2021,"Millet - Retail","KG","cereals and tubers",160,"XOF","Boulsa",12.6626565,-0.5730914,2021,2021 Q1,0.233576642335766,0.0658284635448598,3,0.0658284635448598
13289,Jan 2021,"Millet - Retail","KG","cereals and tubers",201,"XOF","Yalgo",13.588066,-0.2653784,2021,2021 Q1,0.383211678832117,0.064911540496127,3,0.064911540496127
14510,Jan 2021,"Millet - Retail","KG","cereals and tubers",174,"XOF","Leo",11.18140975,-2.117444746,2021,2021 Q1,0.284671532846715,0.0213849097703734,3,0.0213849097703734
14814,Jan 2021,"Millet - Retail","KG","cereals and tubers",210,"XOF","Réo",12.3186862,-2.4696282,2021,2021 Q1,0.416058394160584,0.00364963503649635,3,0.00364963503649635
15113,Jan 2021,"Millet - Retail","KG","cereals and tubers",183,"XOF","Sapouy",11.5532714,-1.768851,2021,2021 Q1,0.317518248175182,0.078304306772526,3,0.078304306772526
15525,Jan 2021,"Millet - Retail","KG","cereals and tubers",185,"XOF","Tita",11.9268021,-2.5100082,2021,2021 Q1,0.324817518248175,0.0348152993217864,3,0.0348152993217864
15869,Jan 2021,"Millet - Retail","KG","cereals and tubers",298,"XOF","Guelwongo",11.0060426,-0.8609234,2021,2021 Q1,0.737226277372263,0.0164571158862149,3,0.0164571158862149
16204,Jan 2021,"Millet - Retail","KG","cereals and tubers",243,"XOF","Kombissiri",11.9886068,-1.294601954,2021,2021 Q1,0.536496350364963,0.0187284724067404,3,0.0187284724067404
16672,Jan 2021,"Millet - Retail","KG","cereals and tubers",219,"XOF","Manga",11.6673837,-1.0723972,2021,2021 Q1,0.448905109489051,0.0131589462608175,3,0.0131589462608175
17148,Jan 2021,"Millet - Retail","KG","cereals and tubers",248,"XOF","Po",11.16647115,-1.144769689,2021,2021 Q1,0.554744525547445,0.0278745480228457,3,0.0278745480228457
19198,Jan 2021,"Millet - Retail","KG","cereals and tubers",150,"XOF","Namouno (CBM)",11.8654774,1.702160693,2021,2021 Q1,0.197080291970803,0.177261086782203,3,0.177261086782203
19964,Jan 2021,"Millet - Retail","KG","cereals and tubers",175,"XOF","Diapaga",12.071211,1.7882233,2021,2021 Q1,0.288321167883212,0.238802549047493,3,0.238802549047493
20308,Jan 2021,"Millet - Retail","KG","cereals and tubers",153,"XOF","Gayéri",12.64983637,0.489297371,2021,2021 Q1,0.208029197080292,0.0528042199859141,3,0.0528042199859141
20582,Jan 2021,"Millet - Retail","KG","cereals and tubers",159,"XOF","Haaba",12.9264193,0.7418205,2021,2021 Q1,0.22992700729927,0.0492813360110197,3,0.0492813360110197
21000,Jan 2021,"Millet - Retail","KG","cereals and tubers",176,"XOF","Kompienga",11.08107289,0.723471862,2021,2021 Q1,0.291970802919708,0.096721066716793,3,0.096721066716793
22052,Jan 2021,"Millet - Retail","KG","cereals and tubers",132,"XOF","Faramana",12.0479595,-4.6671099,2021,2021 Q1,0.131386861313869,0.0420896445060978,3,0.0420896445060978
23562,Jan 2021,"Millet - Retail","KG","cereals and tubers",243,"XOF","Orodara",10.9821014,-4.9148962,2021,2021 Q1,0.536496350364963,0.0348152993217863,3,0.0348152993217863
24076,Jan 2021,"Millet - Retail","KG","cereals and tubers",221,"XOF","Gourcy",13.2072912,-2.3598879,2021,2021 Q1,0.456204379562044,0.0167247288137075,3,0.0167247288137075
24917,Jan 2021,"Millet - Retail","KG","cereals and tubers",162,"XOF","Titao",13.7670609,-2.0734607,2021,2021 Q1,0.240875912408759,0.0128170970229352,3,0.0128170970229352
25324,Jan 2021,"Millet - Retail","KG","cereals and tubers",247,"XOF","Yako",12.9612908,-2.2634317,2021,2021 Q1,0.551094890510949,0.0324386657566262,3,0.0324386657566262
26279,Jan 2021,"Millet - Retail","KG","cereals and tubers",204,"XOF","Mogtédo",12.284444,-0.837222,2021,2021 Q1,0.394160583941606,0.0438462805132363,3,0.0438462805132363
27677,Jan 2021,"Millet - Retail","KG","cereals and tubers",207,"XOF","Djibo",14.1023225,-1.6318243,2021,2021 Q1,0.405109489051095,0.0117319352323515,3,0.0117319352323515
30365,Jan 2021,"Millet - Retail","KG","cereals and tubers",226,"XOF","Markoye",14.64326068,0.034042523,2021,2021 Q1,0.474452554744526,0.0519138401298099,3,0.0519138401298099
30593,Jan 2021,"Millet - Retail","KG","cereals and tubers",189,"XOF","Sebba",13.44169,0.5264471,2021,2021 Q1,0.339416058394161,0.072473824859399,3,0.072473824859399
30868,Jan 2021,"Millet - Retail","KG","cereals and tubers",190,"XOF","Seytenga",13.97458917,0.295821919,2021,2021 Q1,0.343065693430657,0.0967210667167929,3,0.0967210667167929
32051,Jan 2021,"Millet - Retail","KG","cereals and tubers",221,"XOF","Batie",9.876575434,-2.921170794,2021,2021 Q1,0.456204379562044,0.0565791530619634,3,0.0565791530619634
32600,Jan 2021,"Millet - Retail","KG","cereals and tubers",208,"XOF","Dano",11.1435597,-3.0637939,2021,2021 Q1,0.408759124087591,0.0410212051097016,3,0.0410212051097016
33100,Jan 2021,"Millet - Retail","KG","cereals and tubers",235,"XOF","Gaoua",10.3303342,-3.1795681,2021,2021 Q1,0.507299270072993,0.0826624208241323,3,0.0826624208241323
33589,Jan 2021,"Millet - Retail","KG","cereals and tubers",228,"XOF","Hamélé",11.007575,-2.7488016,2021,2021 Q1,0.481751824817518,0.0258926966591153,3,0.0258926966591153
578,Dec 2020,"Millet - Retail","KG","cereals and tubers",192,"XOF","Tougan",13.0690536,-3.0695369,2020,2020 Q4,0.35036496350365,0.0256341940458704,3,0.0256341940458704
1399,Dec 2020,"Millet - Retail","KG","cereals and tubers",215,"XOF","Dedougou",12.4617,-3.457987,2020,2020 Q4,0.434306569343066,0.0426138196791654,3,0.0426138196791654
2946,Dec 2020,"Millet - Retail","KG","cereals and tubers",261,"XOF","Boromo",11.7447567,-2.9300274,2020,2020 Q4,0.602189781021898,0.0372787188468238,3,0.0372787188468238
3369,Dec 2020,"Millet - Retail","KG","cereals and tubers",144,"XOF","Djibasso",13.1238952,-4.1587932,2020,2020 Q4,0.175182481751825,0.0729014027570737,3,0.0729014027570737
3763,Dec 2020,"Millet - Retail","KG","cereals and tubers",284,"XOF","Fara",11.5285634,-2.7665227,2020,2020 Q4,0.686131386861314,0.0816355185878716,3,0.0816355185878716
4185,Dec 2020,"Millet - Retail","KG","cereals and tubers",139,"XOF","Gassan",12.8187745,-3.2,2020,2020 Q4,0.156934306569343,0.0273925310199457,3,0.0273925310199457
4681,Dec 2020,"Millet - Retail","KG","cereals and tubers",138,"XOF","Solenzo",12.1783519,-4.0790712,2020,2020 Q4,0.153284671532847,0.0654225287579015,3,0.0654225287579015
